ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,InsuranceValidity,RTO,Mileage,Color,EngineType,Displacement,NoofCylinder,FuelSuppySystem,TurboCharger,SuperCharger,GearBox,DriveType, SeatingCapacity,SteeringType,FrontBrakeType,RearBrakeType,TyreType,NoDoorNumbers,city
Petrol,Sedan,65979,Manual,2,Honda,Honda Amaze,2016,S i-Vtech,362000,Comprehensive,WB02,18.0,Others,i-VTEC Petrol Engine,1198,4,CRDi,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Kolkata
Diesel,Sedan,65000,Manual,1,Skoda,Skoda Rapid,2014,1.6 TDI Active Plus,300000,Third Party insurance,WB02,20.5,Golden,Turbocharged Diesel Engin,1598,4,Direct Injection,Yes,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Kolkata
Petrol,Hatchback,7940,Manual,2,Datsun,Datsun RediGO,2020,1.0 T Option,389000,Comprehensive,WB06,22.5,Silver,1.0L Petrol Engine,999,3,MPFi,No,No,5,2WD,5,Power,Disc,Drum,"Tubeless,Radial",5,Kolkata
Diesel,Sedan,40000,Automatic,1,BMW,BMW 3 Series,2011,320d Highline,865000,Comprehensive,WB20,16.07,Red,In-Line Engine,1995,4,CRDI,Yes,No,6,2WD,5,Power,Disc,Disc,"Tubeless,Radial",4,Kolkata
Petrol,Sedan,60000,Manual,2,Fiat,Fiat Linea,2011,Dynamic,185000,Third Party insurance,UP33,14.6,Gray,FIRE Engine,1368,4,MPFi,No,No,5  manual,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,Kolkata
Diesel,Sedan,19859,Automatic,1,BMW,BMW 5 Series,2019,520d Luxury Line,3950000,Comprehensive,WB08,20.37,Grey,TwinPower Turbo Inline 4 Cylinder Engine,1995,4,CRDi,Twin,No,8- Steptronic,RWD,5,Power,Ventilated Disc,Ventilated Disc,"Tubeless, Runflat",4,Kolkata
Petrol,SUV,60000,Manual,1,Ford,Ford Ecosport,2015,1.5 Ti VCT MT Trend BSIV,350000,Third Party insurance,WB08,15.85,Red,Ti-VCT Petrol Engine,1499,4,Direct Injection,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,Hatchback,32000,Manual,1,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Asta,464000,Comprehensive,WB26,18.9,Blue,Kappa VTVT Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,Tubeless,5,Kolkata
Petrol,Hatchback,47739,Manual,2,Honda,Honda Jazz,2017,1.2 V i VTEC,412000,Comprehensive,WB06,18.7,Red,i-VTEC Petrol Engine,1199,4,PGM - Fi,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,Hatchback,10717,Automatic,2,Maruti,Maruti Alto K10,2019,VXI AGS Optional,375000,Third Party,WB26,23.95,Silver,K Series Petrol Engine,998,3,MPFi,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",5,Kolkata
Diesel,Sedan,41000,Manual,1,Honda,Honda City,2015,i DTEC VX,621000,Comprehensive,WB02,25.1,White,i DTEC Diesel Engine ,1498,4,Direct Injection,Yes,No,6,FWD,5,Power,Disc,Drum,"Tubeless,Radial",4,Kolkata
Petrol,Hatchback,17619,Manual,2,Hyundai,Hyundai Santro,2020,Magna Corp Edition,443000,Comprehensive,WB24,20.3,Silver,1.1 L Petrol,1086,4,MPFI,No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,Hatchback,9221,Manual,1,Renault,Renault KWID,2021,1.0 RXT Opt,422000,Comprehensive,WB08,21.74,Red,Petrol Engine,999,3,MPFi,No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,SUV,70000,Manual,1,Honda,Honda WR-V,2019,i-VTEC S,550000,Third Party,WB02,17.5,Silver,i-VTEC Petrol Engine,1199,4,MPFi,No,No,5,FWD,5,Electric,Ventilated Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,Hatchback,10519,Manual,1,Maruti,Maruti Swift,2019,VXI,545000,Third Party,WB26,22.38,Silver,K Series Dual jet,1197,4,MPFi,No,No,5,FWD,5,Electric,Disc,Drum,"Radial, Tubeless",5,Kolkata
Petrol,Sedan,50000,Manual,2,Hyundai,Hyundai Verna,2014,1.6 SX VTVT (O),450000,Third Party insurance,WB02,17.1,Others,VTVT Petrol Engine,1591,4,MPFI,No,No,5,FWD,5,Power,Disc ,Disc,"Tubeless,Radial",4,Kolkata
Cng,Hatchback,19907,Manual,1,Maruti,Maruti Celerio,2022,VXI CNG,597000,Comprehensive,WB02,26.344,Others,K10C,998,3,MPFI,No,No,5,FWD,5,Electric,Ventilated Disc,Drum,"Tubeless, Radial",5,Kolkata
Petrol,Hatchback,84771,Manual,2,Maruti,Maruti Swift,2015,VXI,330000,Comprehensive,WB24,22.38,Silver,K Series Dual jet,1197,4,MPFI,No,No,5,FWD,5,Electric,Disc,Drum,"Radial, Tubeless",5,Kolkata
Petrol,Hatchback,7000,Automatic,2,Honda,Honda Brio,2015,VX AT,595000,Comprehensive,WB10,16.5,Grey,i-VTEC Engine,1198,4,PGM - Fi,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,Sedan,50000,Manual,1,Honda,Honda City,2017,i-VTEC V,500000,Third Party insurance,WB02,17.4,Grey,i VTEC Engine,1497,4,PGM-Fi,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,Kolkata
Diesel,Sedan,52000,Automatic,1,Audi,Audi A6,2013,2.0 TDI Premium Plus,1075000,Comprehensive,WB02,17.68,White,TDI Diesel Engine ,1968,4,CRDI,Yes,No,8,FWD,5,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",4,Kolkata
Petrol,SUV,15407,Manual,1,Tata,Tata Nexon,2021,XM S BSVI,835000,Comprehensive,WB06,17.33,Foliage,1.2l Turbocharged Revotron Engine,1199,3,CRDI,NO,No,6,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,Hatchback,50000,Manual,2,Hyundai,Hyundai i10,2009,Magna 1.2,175000,Third Party insurance,WB06,20.36,Others,Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,Kolkata
Petrol,Sedan,58000,Manual,1,Honda,Honda City,2017,i-VTEC V,550000,Third Party insurance,WB02,17.4,Silver,i VTEC Engine,1497,4,PGM-Fi,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,Kolkata
Petrol,Sedan,14000,Manual,1,Hyundai,Hyundai Verna,2021,SX,1025000,Third Party insurance,WB26,17.7,Blue,1.5 l MPi petrol,1497,4,MPi,No,No,6,FWD,5,Electric,Disc,Drum,"Tubeless, Radial",4,Kolkata
Petrol,Sedan,80000,Manual,3,Hyundai,Hyundai Elantra,2014,SX,350000,Third Party insurance,WB08,16.3,Others,Dual VTVT Petrol Engine,1797,4,Multipoint Injection,No,No,6,FWD,5,Power,Disc,Disc,"Tubeless,Radial",4,Kolkata
Petrol,Sedan,45000,Manual,1,Hyundai,Hyundai Elantra,2017,2.0 SX Option,775000,Third Party insurance,WB12,14.59,Silver,Nu 2.0 MPi Petrol Engine,1999,4,MPFI,No,No,6,FWD,5,Power,Disc,Disc,"Tubeless,Radial",4,Kolkata
Petrol,Sedan,119236,Manual,1,Maruti,Maruti Swift Dzire,2014,VXI,306000,Third Party insurance,WB24,22.41,Silver,Nu 2.0 MPi Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless, Radial",4,Kolkata
