it,ft,bt,km,transmission,ownerNo,owner,oem,model,RearBrakeType,TyreType,AlloyWheelSize,EngineType,NoofCylinder,FuelSuppySystem,NoDoorNumbers,Color,TurboCharger,SuperCharger,DriveType, SeatingCapacity,SteeringType,Ground Clearance Unladen,CargoVolumn,Insurance Validity,Mileage,Front Brake Type,RearBrakeType,CompressionRatio,Acceleration,Top Speed,city,modelYear,centralVariantId,variantName,price,priceActual,city
0,Diesel,SUV,"68,132",Manual,1,1st Owner,Renault,Renault Captur,Drum,"Radial,Tubeless",16,K9K dCi Diesel Engine,4,CRDi,5,Red,Yes,No,FWD,5,Power,210mm,392,Comprehensive,20.37 kmpl,Disc,Drum,10.5,13.24,175.7062571,Kolkata,2018,6101,1.5 Diesel RXT Mono,₹ 6.86 Lakh,777000,Kolkata
0,Petrol,Sedan,"76,932",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,K9K dCi Diesel Engine,4,CRDi,4,Others,Yes,No,FWD,5,Electric,160,378,Third Party,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2014,10244,VXI,₹ 3.75 Lakh,418000,Kolkata
0,Petrol,Sedan,"69,273",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,K9K dCi Diesel Engine,4,CRDi,4,Blue,Yes,No,FWD,5,Electric,160,378,Comprehensive,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2014,10244,VXI,₹ 3.23 Lakh,374000,Kolkata
0,Petrol,SUV,"10,000",Automatic,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,Kappa 1.0 L Turbo GDi Petrol,3,GDi,5,Others,Yes,No,FWD,5,Electric,190mm,350,Third Party insurance,18.15 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2022,7681,SX Plus Turbo DCT,₹ 10 Lakh,645877,Kolkata
0,Petrol,Sedan,"20,000",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",15,Kappa 1.0 L Turbo GDi Petrol,4,GDi,4,Others,Yes,No,FWD,5,Electric,160,378,Third Party insurance,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7711,ZXI Plus BSVI,₹ 7.60 Lakh,645877,Kolkata
0,Petrol,SUV,"17,466",Manual,1,1st Owner,Tata,Tata Nexon,Drum,Tubeless Radial Tyres,16,Revotron 1.2L Turbocharged engine,3,MPFI,5,Others,Yes,No,FWD,5,Power,209 mm,350,Third Party,17 kmpl,Disc,Drum,10.5,10.94071856,154.19,Kolkata,2020,6331,1.2 Revotron XZ,₹ 7.54 Lakh,826000,Kolkata
0,Petrol,MUV,"30,000",Manual,1,1st Owner,Maruti,Maruti XL6,Leading & Trailing Drum,"Tubeless,Radial",16,K15B Smart Hybrid,4,MPFI,5,Others,Yes,No,FWD,6,Power,180mm,209,Third Party insurance,19.01 kmpl,Ventilated Disc,Leading & Trailing Drum,10.5,10.94071856,175.7062571,Kolkata,2020,7099,Alpha,₹ 10.50 Lakh,645877,Kolkata
0,Petrol,SUV,"38,380",Automatic,1,1st Owner,MG,MG Hector Plus,Disc,"Tubeless, Radial",16,1.5L Turbocharged Intercooled,4,MPFI,5,Black,YES,No,FWD,6,Power,192mm,155,Comprehensive,11.67 kmpl,Disc,Disc,10.5,10.94071856,175.7062571,Kolkata,2021,7520,Sharp DCT,₹ 15 Lakh,645877,Kolkata
0,Petrol,Sedan,"20,000",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",15,1.5L Turbocharged Intercooled,4,MPFI,4,Others,YES,No,FWD,5,Electric,160,378,Third Party insurance,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7711,ZXI Plus BSVI,₹ 7.50 Lakh,645877,Kolkata
0,Diesel,SUV,"83,234",Manual,1,1st Owner,Tata,Tata Nexon,Drum,Tubeless Radial Tyres,16,"Revotorq, 1.5L Turbocharged engine",4,CDI,5,Red,Yes,No,FWD,5,Power,209 mm,350,Third Party insurance,21.5 kmpl,Disc,Drum,10.5,10.94071856,154.19,Kolkata,2018,5995,1.5 Revotorq XE,₹ 5.10 Lakh,564000,Kolkata
0,Petrol,SUV,"11,000",Manual,1,1st Owner,Kia,Kia Seltos,Disc,"Tubeless,Radial",16,Smartstream G1.5,4,MPI,5,Grey,No,No,2WD,5,Electric,190mm,433,Comprehensive,16.8 kmpl,Disc,Disc,10.5,11.8,175.7062571,Kolkata,2021,8098,Anniversary Edition,₹ 13.50 Lakh,645877,Kolkata
0,Petrol,SUV,"40,000",Manual,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,Smartstream G1.5,4,MPI,5,Others,No,No,FWD,5,Power,190mm,350,Third Party insurance,17.52 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,6942,S BSIV,₹ 6.50 Lakh,645877,Kolkata
0,Petrol,SUV,"8,126",Manual,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,Kappa 1.0 L Turbo GDi Petrol,3,GDi,5,Blue,Yes,No,FWD,5,Electric,190mm,350,Comprehensive,18.27 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7675,SX Turbo,₹ 9.70 Lakh,645877,Kolkata
0,Diesel,Sedan,"46,900",Automatic,2,2nd Owner,Skoda,Skoda Superb,Disc,"Tubeless,Radial",17,Diesel Engine,4,Direct Injection,5,White,Yes,No,FWD,5,Power,110mm,625,Third Party insurance,18.19 kmpl,Disc,Disc,10.5,10.94071856,175.7062571,Kolkata,2019,3195,Style 2.0 TDI AT,₹ 16.95 Lakh,645877,Kolkata
0,Petrol,SUV,"30,559",Manual,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,Kappa 1.0 L Turbo GDi Petrol,3,GDi,5,Red,Yes,No,FWD,5,Electric,190mm,350,Comprehensive,18.27 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7675,SX Turbo,₹ 8.75 Lakh,645877,Kolkata
